TimeStamp,Attribute,Value
1/1/10 16:22,Iprec,0
1/1/10 16:26,HUMI,25
1/1/10 16:28,cbwd,NE
1/1/10 16:39,TEMP,-2
1/1/10 16:40,Iprec,0
1/1/10 16:52,precipitation,0
1/1/10 16:53,TEMP,-1
1/1/10 17:11,DEWP,-19
1/1/10 17:17,Iws,1.79
1/1/10 17:36,cbwd,NW
1/1/10 17:43,TEMP,-5
1/1/10 17:58,DEWP,-17
1/1/10 17:58,DEWP,-18
1/1/10 18:06,Iws,0.89
1/1/10 18:10,HUMI,30
1/1/10 18:30,TEMP,-5
1/1/10 18:34,precipitation,0
1/1/10 18:45,TEMP,-3
1/1/10 18:56,PRES,1016
1/1/10 18:57,precipitation,0
1/1/10 19:19,PRES,1017
1/1/10 19:20,HUMI,38
1/1/10 19:33,Iprec,0
1/1/10 19:50,HUMI,38
1/1/10 20:05,TEMP,-4
1/1/10 20:07,DEWP,-17
1/1/10 20:13,Iws,1.79
1/1/10 20:16,Iws,1.79
1/1/10 20:16,PRES,1017
1/1/10 20:25,PRES,1018
1/1/10 20:31,precipitation,0
1/1/10 20:40,PRES,1018
1/1/10 20:47,HUMI,35
1/1/10 20:51,DEWP,-17
1/1/10 20:54,precipitation,0
1/1/10 21:22,Iprec,0
1/1/10 21:29,Iws,0.89
1/1/10 21:32,precipitation,0
1/1/10 21:34,precipitation,0
1/1/10 21:40,Iprec,0
1/1/10 22:11,cbwd,NW
1/1/10 22:16,precipitation,0
1/1/10 22:17,HUMI,38
1/1/10 22:24,PM_USPost,129
1/1/10 22:25,Iws,1.79
1/1/10 22:49,PM_USPost,148
1/1/10 22:52,HUMI,41
1/1/10 23:01,Iprec,0
1/1/10 23:03,PRES,1020
1/1/10 23:08,Iws,2.68
1/1/10 23:09,TEMP,-5
1/1/10 23:31,cbwd,NW
1/1/10 23:44,PM_USPost,159
1/1/10 23:50,HUMI,38
1/1/10 23:55,PRES,1020
1/2/10 0:12,DEWP,-11
1/2/10 0:18,cbwd,SE
1/2/10 0:20,Iprec,0
1/2/10 0:30,cbwd,SE
1/2/10 0:35,precipitation,0
1/2/10 0:55,cbwd,SE
1/2/10 0:56,cbwd,cv
1/2/10 1:12,PRES,1020
1/2/10 1:16,PM_USPost,181
1/2/10 1:18,DEWP,-15
1/2/10 1:24,Iprec,0
1/2/10 1:25,DEWP,-7
1/2/10 1:58,Iprec,0
1/2/10 2:03,Iws,3.57
1/2/10 2:09,PRES,1021
1/2/10 2:12,precipitation,0
1/2/10 2:15,TEMP,-4
1/2/10 2:20,HUMI,63.5
1/2/10 2:23,DEWP,-7
1/2/10 2:53,precipitation,0
1/2/10 2:54,HUMI,42
1/2/10 2:57,HUMI,85
1/2/10 3:17,PM_USPost,138
1/2/10 3:21,Iws,7.14
1/2/10 3:21,TEMP,-5
1/2/10 3:34,Iws,6.25
1/2/10 3:44,cbwd,SE
1/2/10 3:48,TEMP,-5
1/2/10 3:50,Iws,5.36
1/2/10 3:58,cbwd,SE
1/2/10 4:11,PRES,1022
1/2/10 4:14,cbwd,SE
1/2/10 4:16,precipitation,0
1/2/10 4:20,PM_USPost,124
1/2/10 4:22,TEMP,-5
1/2/10 4:22,HUMI,85
1/2/10 4:24,Iprec,0
1/2/10 4:26,PRES,1022
1/2/10 4:26,cbwd,SE
1/2/10 4:38,precipitation,0
1/2/10 5:08,TEMP,-6
1/2/10 5:23,DEWP,-7
1/2/10 5:31,TEMP,-5
1/2/10 5:32,PM_USPost,109
1/2/10 5:51,HUMI,92
1/2/10 5:55,precipitation,0
1/2/10 6:11,Iws,12.51
1/2/10 6:19,PRES,1024
1/2/10 6:19,Iprec,0
1/2/10 6:20,PM_USPost,120
1/2/10 6:27,PM_USPost,132
1/2/10 6:35,cbwd,SE
1/2/10 6:42,TEMP,-6
1/2/10 6:45,HUMI,92
1/2/10 6:51,PM_USPost,105
1/2/10 7:19,Iws,8.93
1/2/10 7:24,PM_USPost,140
1/2/10 7:29,PRES,1023
1/2/10 7:32,cbwd,SE
1/2/10 7:37,DEWP,-7
1/2/10 7:40,HUMI,85
1/2/10 7:51,PRES,1025
1/2/10 7:53,Iprec,0
1/2/10 7:53,PRES,1024
1/2/10 7:53,HUMI,85
1/2/10 8:05,Iws,10.72
1/2/10 8:07,HUMI,85
1/2/10 8:08,Iprec,0
1/2/10 8:14,precipitation,0
1/2/10 8:18,TEMP,-5
1/2/10 8:36,TEMP,-6
1/2/10 8:59,DEWP,-8
1/2/10 9:01,Iprec,0
1/2/10 9:16,DEWP,-7
1/2/10 9:46,precipitation,0
1/2/10 9:52,Iws,14.3
1/2/10 10:17,precipitation,0
1/2/10 10:19,cbwd,SE
1/2/10 10:32,DEWP,-8
1/2/10 10:47,Iprec,0
1/2/10 11:03,DEWP,-8
1/2/10 11:08,PRES,1026
1/2/10 11:38,Iprec,0
1/2/10 11:39,PM_USPost,164
1/2/10 11:40,PM_USPost,158
1/2/10 11:51,HUMI,79
1/2/10 11:59,cbwd,SE
1/2/10 12:23,Iws,23.69
1/2/10 12:25,precipitation,0
1/2/10 13:02,TEMP,-5
1/2/10 13:09,Iprec,0
1/2/10 13:17,Iws,27.71
1/2/10 13:29,HUMI,79
1/2/10 13:33,precipitation,0
1/2/10 13:36,TEMP,-5
1/2/10 13:38,PM_USPost,159
1/2/10 13:56,cbwd,SE
1/2/10 14:03,HUMI,73
1/2/10 14:22,TEMP,-5
1/2/10 14:26,PRES,1025
1/2/10 14:32,Iws,37.54
1/2/10 14:45,Iws,31.73
1/2/10 14:46,Iws,35.75
1/2/10 14:47,TEMP,-5
1/2/10 14:52,PRES,1025
1/2/10 14:53,cbwd,SE
1/2/10 14:54,precipitation,0
1/2/10 15:12,Iws,39.33
1/2/10 15:35,PM_USPost,154
1/2/10 15:40,precipitation,0
1/2/10 16:00,Iprec,0
1/2/10 16:10,precipitation,0
1/2/10 16:16,TEMP,-5
1/2/10 16:17,cbwd,SE
1/2/10 16:19,PRES,1027
1/2/10 16:28,PRES,1025
1/2/10 16:32,TEMP,-5
1/2/10 16:34,HUMI,79
1/2/10 16:50,HUMI,73
1/2/10 16:57,precipitation,0
1/2/10 16:57,DEWP,-8
1/2/10 17:03,precipitation,0
1/2/10 17:07,DEWP,-9
1/2/10 17:24,precipitation,0
1/2/10 17:29,cbwd,SE
1/2/10 17:41,cbwd,SE
1/2/10 17:55,cbwd,SE
1/2/10 18:03,TEMP,-5
1/2/10 18:04,PRES,1028
1/2/10 18:09,PRES,1027
1/2/10 18:35,DEWP,-8
1/2/10 18:42,Iws,44.25
1/2/10 18:47,DEWP,-8
1/2/10 18:52,precipitation,0
1/2/10 18:57,Iws,46.04
1/2/10 18:59,cbwd,SE
1/2/10 19:11,Iprec,0
1/2/10 19:12,HUMI,79
1/2/10 19:17,HUMI,85
1/2/10 19:25,TEMP,-5
1/2/10 19:26,Iprec,0
1/2/10 19:31,HUMI,79
1/2/10 19:33,PM_USPost,164
1/2/10 19:41,Iws,42.46
1/2/10 19:50,PM_USPost,149
1/2/10 19:56,PM_USPost,154
1/2/10 20:40,PRES,1028
1/2/10 21:18,precipitation,0
1/2/10 21:50,cbwd,SE
1/2/10 21:53,cbwd,SE
1/2/10 22:31,TEMP,-6
1/2/10 22:41,DEWP,-8
1/2/10 23:00,cbwd,SE
1/2/10 23:11,TEMP,-6
1/2/10 23:16,Iprec,0
1/2/10 23:18,cbwd,SE
1/2/10 23:27,PRES,1028
1/2/10 23:36,PM_USPost,126
1/2/10 23:39,PRES,1027
1/2/10 23:40,TEMP,-6
1/2/10 23:40,DEWP,-8
1/2/10 23:54,PRES,1026
1/2/10 23:55,PM_USPost,90
1/2/10 23:59,HUMI,85
1/3/10 0:00,PM_USPost,65
1/3/10 0:05,Iprec,0
1/3/10 0:05,DEWP,-8
1/3/10 0:06,Iws,58.56
1/3/10 0:17,DEWP,-7
1/3/10 0:23,Iws,65.71
1/3/10 0:29,Iws,55.43
1/3/10 0:30,HUMI,92
1/3/10 0:42,Iprec,0.9
1/3/10 0:46,Iprec,1.4
1/3/10 1:08,HUMI,92
1/3/10 1:11,precipitation,0.4
1/3/10 1:11,Iws,61.69
1/3/10 1:17,HUMI,85
1/3/10 1:27,cbwd,SE
1/3/10 1:34,precipitation,0.5
1/3/10 1:45,PM_USPost,55
1/3/10 2:07,TEMP,-7
1/3/10 2:14,cbwd,SE
1/3/10 2:22,HUMI,92
1/3/10 2:49,PRES,1024
1/3/10 3:30,DEWP,-8
1/3/10 3:30,PRES,1024
1/3/10 3:41,TEMP,-8
1/3/10 3:58,TEMP,-7
1/3/10 4:21,cbwd,SE
1/3/10 4:21,PM_USPost,86
1/3/10 4:44,cbwd,SE
1/3/10 4:45,DEWP,-10
1/3/10 4:48,HUMI,85
1/3/10 5:00,Iws,84.92
1/3/10 5:14,precipitation,1
1/3/10 5:15,PRES,1024
1/3/10 5:25,Iws,72.86
1/3/10 5:28,DEWP,-9
1/3/10 5:32,Iprec,5
1/3/10 5:42,Iprec,3.3
1/3/10 5:42,PM_USPost,83
1/3/10 5:43,precipitation,1.2
1/3/10 6:04,HUMI,92
1/3/10 6:06,TEMP,-9
1/3/10 6:07,DEWP,-10
1/3/10 6:09,PRES,1024
1/3/10 6:10,PM_USPost,91
1/3/10 6:13,Iprec,4
1/3/10 6:17,Iws,76.88
1/3/10 6:18,Iws,89.84
1/3/10 6:18,HUMI,92
1/3/10 6:43,PM_USPost,86
1/3/10 7:01,cbwd,SE
1/3/10 7:21,Iprec,6.2
1/3/10 7:35,cbwd,SE
1/3/10 7:36,PRES,1024
1/3/10 7:39,TEMP,-8
1/3/10 7:40,Iprec,5.7
1/3/10 7:59,PM_USPost,78
1/3/10 8:02,DEWP,-10
1/3/10 8:05,precipitation,0.4
1/3/10 8:15,DEWP,-11
1/3/10 8:20,HUMI,85
1/3/10 8:27,precipitation,0.7
1/3/10 8:29,PM_USPost,82
1/3/10 8:40,PM_USPost,98
1/3/10 8:45,Iprec,7.3
1/3/10 8:47,HUMI,92
1/3/10 8:50,cbwd,SE
1/3/10 8:52,TEMP,-9
1/3/10 8:54,precipitation,0.7
1/3/10 9:16,HUMI,85
1/3/10 9:19,cbwd,SE
1/3/10 9:21,Iws,93.86
1/3/10 9:24,cbwd,SE
1/3/10 9:51,TEMP,-9
1/3/10 9:57,Iprec,6.9
1/3/10 10:00,Iprec,8.9
1/3/10 10:06,Iws,97.88
1/3/10 10:15,DEWP,-11
1/3/10 10:40,cbwd,SE
1/3/10 10:42,HUMI,85
1/3/10 10:49,precipitation,1.1
1/3/10 10:56,TEMP,-9
1/3/10 10:59,DEWP,-11
1/3/10 11:00,Iws,102.8
1/3/10 11:02,PM_USPost,90
1/3/10 11:03,Iprec,7.8
1/3/10 11:12,PRES,1022
1/3/10 11:15,TEMP,-9
1/3/10 11:17,Iprec,9.4
1/3/10 11:18,DEWP,-11
1/3/10 11:20,PRES,1021
1/3/10 11:27,PM_USPost,107
1/3/10 11:31,PRES,1023
1/3/10 11:37,precipitation,0.5
1/3/10 11:39,cbwd,SE
1/3/10 12:14,cbwd,SE
1/3/10 12:21,Iws,111.74
1/3/10 12:25,PRES,1020
1/3/10 12:35,DEWP,-11
1/3/10 13:08,TEMP,-9
1/3/10 13:23,PRES,1020
1/3/10 13:28,precipitation,0.5
1/3/10 13:46,Iws,121.58
1/3/10 13:49,HUMI,85
1/3/10 13:54,cbwd,SE
1/3/10 14:20,PM_USPost,96
1/3/10 14:47,TEMP,-9
1/3/10 15:18,PM_USPost,61
1/3/10 15:20,HUMI,85
1/3/10 15:33,DEWP,-11
1/3/10 15:33,DEWP,-11
1/3/10 15:43,HUMI,85
1/3/10 15:47,Iws,127.84
1/3/10 16:04,precipitation,0.1
1/3/10 16:06,TEMP,-9
1/3/10 16:16,TEMP,-9
1/3/10 16:56,precipitation,0.5
1/3/10 17:20,cbwd,cv
1/3/10 17:32,PM_USPost,53
1/3/10 17:35,HUMI,85
1/3/10 17:39,Iprec,10.5
1/3/10 17:45,DEWP,-11
1/3/10 17:51,PRES,1021
1/3/10 18:06,PRES,1022
1/3/10 18:08,PRES,1020
1/3/10 18:16,Iws,1.78
1/3/10 18:20,TEMP,-9
1/3/10 18:32,precipitation,0.3
1/3/10 18:34,cbwd,SE
1/3/10 18:45,HUMI,85
1/3/10 18:46,Iprec,10.9
1/3/10 18:54,TEMP,-9
1/3/10 18:59,Iws,0.89
1/3/10 19:12,precipitation,0.4
1/3/10 19:27,Iprec,0
1/3/10 19:30,PM_USPost,71
1/3/10 19:37,precipitation,0
1/3/10 19:50,precipitation,0
1/3/10 19:53,PRES,1023
1/3/10 20:08,DEWP,-11
1/3/10 20:12,Iprec,11.2
1/3/10 20:18,HUMI,92
1/3/10 20:31,PM_USPost,76
1/3/10 20:35,Iws,4.02
1/3/10 20:37,DEWP,-10
1/3/10 20:38,TEMP,-10
1/3/10 20:44,Iws,7.15
1/3/10 20:52,DEWP,-11
1/3/10 21:05,Iws,14.3
1/3/10 21:07,HUMI,85
1/3/10 21:08,TEMP,-9
1/3/10 21:09,cbwd,NW
1/3/10 21:14,PRES,1023
1/3/10 21:16,PM_USPost,73
1/3/10 21:19,Iprec,0
1/3/10 21:25,TEMP,-11
1/3/10 21:47,TEMP,-9
1/3/10 21:55,PM_USPost,72
1/3/10 21:56,HUMI,92
1/3/10 22:02,cbwd,NW
1/3/10 22:20,cbwd,NW
1/3/10 22:33,Iprec,0
1/3/10 22:34,PRES,1023
1/3/10 22:39,precipitation,0
1/3/10 22:49,Iws,11.17
1/3/10 22:57,TEMP,-12
1/3/10 22:58,cbwd,NW
1/3/10 23:12,precipitation,0
1/3/10 23:15,PM_USPost,58
1/3/10 23:16,PRES,1023
1/3/10 23:31,DEWP,-14
1/3/10 23:45,HUMI,92
1/3/10 23:55,precipitation,0
1/3/10 23:58,Iprec,0
1/4/10 0:05,PM_USPost,79
1/4/10 0:27,PM_USPost,25
1/4/10 0:33,Iprec,0
1/4/10 0:33,HUMI,56
1/4/10 1:00,Iws,39.78
1/4/10 1:02,DEWP,-16
1/4/10 1:05,DEWP,-18
1/4/10 1:25,PRES,1023
1/4/10 1:39,Iws,21.9
1/4/10 1:55,cbwd,NW
1/4/10 2:21,Iws,48.72
1/4/10 2:24,precipitation,0
1/4/10 2:27,TEMP,-9
1/4/10 2:33,PRES,1024
1/4/10 2:33,precipitation,0
1/4/10 2:35,precipitation,0
1/4/10 2:50,DEWP,-19
1/4/10 2:50,cbwd,NW
1/4/10 2:54,cbwd,NW
1/4/10 3:12,TEMP,-11
1/4/10 3:17,cbwd,NW
1/4/10 3:18,precipitation,0
1/4/10 3:27,Iprec,0
1/4/10 3:29,Iprec,0
1/4/10 3:43,HUMI,51
1/4/10 3:55,HUMI,56
1/4/10 3:56,TEMP,-11
1/4/10 3:57,DEWP,-20
1/4/10 3:58,PM_USPost,26
1/4/10 4:14,PM_USPost,28
1/4/10 4:17,PRES,1026
1/4/10 4:26,PRES,1025
1/4/10 4:30,Iws,55.87
1/4/10 4:34,precipitation,0
1/4/10 4:39,TEMP,-12
1/4/10 5:15,TEMP,-12
1/4/10 5:19,cbwd,NW
1/4/10 5:22,cbwd,NW
1/4/10 5:48,HUMI,51
1/4/10 6:01,PRES,1028
1/4/10 6:05,Iprec,0
1/4/10 6:15,HUMI,46
1/4/10 6:29,DEWP,-21
1/4/10 6:35,Iws,64.81
1/4/10 6:36,PM_USPost,29
1/4/10 6:37,HUMI,47
1/4/10 6:39,DEWP,-22
1/4/10 6:54,Iprec,0
1/4/10 7:08,PRES,1029
1/4/10 7:25,TEMP,-13
1/4/10 7:37,Iws,90.73
1/4/10 7:50,precipitation,0
1/4/10 7:53,PRES,1027
1/4/10 7:54,HUMI,46
1/4/10 8:04,DEWP,-22
1/4/10 8:07,precipitation,0
1/4/10 8:19,cbwd,NW
1/4/10 8:45,HUMI,43
1/4/10 8:48,Iws,80.9
1/4/10 8:48,DEWP,-22
1/4/10 9:39,PRES,1030
1/4/10 9:56,Iprec,0
1/4/10 9:59,Iws,100.56
1/4/10 10:27,TEMP,-12
1/4/10 10:44,PM_USPost,25
1/4/10 10:49,cbwd,NW
1/4/10 10:55,Iprec,0
1/4/10 10:57,precipitation,0
1/4/10 11:02,Iws,108.61
1/4/10 11:05,TEMP,-12
1/4/10 11:13,Iprec,0
1/4/10 11:13,DEWP,-23
1/4/10 11:14,PM_USPost,29
1/4/10 11:26,cbwd,NW
1/4/10 11:28,PRES,1031
1/4/10 11:38,cbwd,NW
1/4/10 11:38,precipitation,0
1/4/10 11:39,Iws,127.38
1/4/10 12:04,Iprec,0
1/4/10 12:20,HUMI,39
1/4/10 12:25,precipitation,0
1/4/10 12:27,cbwd,NW
1/4/10 12:35,TEMP,-10
1/4/10 12:55,cbwd,NW
1/4/10 13:02,precipitation,0
1/4/10 13:23,HUMI,43
1/4/10 13:29,HUMI,40
1/4/10 13:29,HUMI,37
1/4/10 13:34,Iprec,0
1/4/10 13:37,Iprec,0
1/4/10 13:42,cbwd,NW
1/4/10 13:42,DEWP,-20
1/4/10 14:05,PM_USPost,30
1/4/10 14:06,PRES,1030
1/4/10 14:13,DEWP,-21
1/4/10 14:16,Iws,152.41
1/4/10 14:24,cbwd,NW
1/4/10 14:25,PM_USPost,28
1/4/10 14:33,DEWP,-21
1/4/10 14:38,DEWP,-21
1/4/10 14:41,TEMP,-10
1/4/10 14:52,PM_USPost,29
1/4/10 15:42,Iws,145.26
1/4/10 15:44,Iws,136.32
1/4/10 15:50,TEMP,-9
1/4/10 15:55,Iprec,0
1/4/10 16:18,PRES,1030
1/4/10 16:27,PRES,1031
1/4/10 16:56,TEMP,-9
1/4/10 17:43,PM_USPost,30
1/4/10 17:51,precipitation,0
1/4/10 18:27,PRES,1033
1/4/10 18:30,PM_USPost,33
1/4/10 19:00,cbwd,NW
1/4/10 19:02,PRES,1034
1/4/10 19:07,Iws,171.18
1/4/10 19:11,TEMP,-12
1/4/10 19:15,HUMI,47
1/4/10 19:32,Iws,180.12
1/4/10 19:39,cbwd,NW
1/4/10 20:03,TEMP,-12
1/4/10 20:08,Iprec,0
1/4/10 20:15,Iprec,0
1/4/10 20:28,DEWP,-24
1/4/10 20:42,DEWP,-21
1/4/10 20:43,precipitation,0
1/4/10 20:58,PM_USPost,31
1/4/10 21:09,HUMI,39
1/4/10 21:20,PRES,1035
1/4/10 21:28,PM_USPost,31
1/4/10 21:39,HUMI,39
1/4/10 21:41,Iws,187.27
1/4/10 21:42,PM_USPost,30
1/4/10 21:45,cbwd,NW
1/4/10 21:46,PRES,1034
1/4/10 21:51,TEMP,-13
1/4/10 21:59,cbwd,NW
1/4/10 22:09,Iws,195.32
1/4/10 22:16,Iprec,0
1/4/10 22:30,precipitation,0
1/4/10 22:31,PRES,1035
1/4/10 22:44,HUMI,38
1/4/10 22:47,precipitation,0
1/4/10 22:54,Iws,198.45
1/4/10 23:14,precipitation,0
1/4/10 23:20,TEMP,-13
1/4/10 23:21,cbwd,NW
1/4/10 23:23,cbwd,NW
1/4/10 23:34,Iprec,0
1/4/10 23:41,precipitation,0
1/4/10 23:49,DEWP,-24
1/5/10 0:00,precipitation,0
1/5/10 0:13,PRES,1035
1/5/10 0:21,TEMP,-15
1/5/10 0:24,DEWP,-26
1/5/10 0:27,Iws,205.6
1/5/10 0:31,Iprec,0
1/5/10 0:43,precipitation,0
1/5/10 0:52,Iprec,0
1/5/10 1:03,DEWP,-26
1/5/10 1:15,PM_USPost,34
1/5/10 1:25,HUMI,45
1/5/10 1:38,DEWP,-26
1/5/10 1:39,TEMP,-18
1/5/10 1:43,Iprec,0
1/5/10 1:45,cbwd,NW
1/5/10 1:45,PRES,1035
1/5/10 1:48,TEMP,-17
1/5/10 1:50,TEMP,-18
1/5/10 1:54,PM_USPost,27
1/5/10 1:54,cbwd,NW
1/5/10 2:13,PRES,1035
1/5/10 2:21,HUMI,49
1/5/10 2:25,Iws,208.73
1/5/10 2:39,DEWP,-26
1/5/10 2:52,HUMI,53
1/5/10 3:15,TEMP,-19
1/5/10 3:32,precipitation,0
1/5/10 3:37,PM_USPost,25
1/5/10 3:40,PRES,1035
1/5/10 3:56,HUMI,45
1/5/10 4:29,PM_USPost,27
1/5/10 4:36,PM_USPost,28
1/5/10 4:44,DEWP,-27
1/5/10 4:58,Iws,8.05
1/5/10 5:03,precipitation,0
1/5/10 5:12,cbwd,NE
1/5/10 5:21,PRES,1035
1/5/10 5:22,PRES,1034
1/5/10 5:26,TEMP,-16
1/5/10 5:43,TEMP,-16
1/5/10 5:45,HUMI,41
1/5/10 6:32,PRES,1035
1/5/10 6:49,DEWP,-27
1/5/10 6:51,Iprec,0
1/5/10 6:57,cbwd,NE
1/5/10 7:01,TEMP,-16
1/5/10 7:06,PM_USPost,27
1/5/10 7:13,DEWP,-26
1/5/10 7:27,precipitation,0
1/5/10 7:28,HUMI,38
1/5/10 7:32,Iprec,0
1/5/10 7:49,Iws,18.78
1/5/10 8:25,cbwd,NE
1/5/10 8:26,cbwd,NE
1/5/10 8:43,Iws,13.86
1/5/10 8:53,HUMI,41
1/5/10 8:58,PM_USPost,30
1/5/10 9:02,PM_USPost,29
1/5/10 9:13,precipitation,0
1/5/10 9:29,PRES,1035
1/5/10 9:44,HUMI,38
1/5/10 9:56,HUMI,35
1/5/10 9:59,TEMP,-13
1/5/10 10:00,Iws,34.43
1/5/10 10:00,DEWP,-25
1/5/10 10:07,PM_USPost,27
1/5/10 10:30,PM_USPost,39
1/5/10 10:30,TEMP,-14
1/5/10 10:43,Iws,29.51
1/5/10 11:05,DEWP,-24
1/5/10 11:06,TEMP,-12
1/5/10 11:17,PRES,1032
1/5/10 11:43,precipitation,0
1/5/10 11:45,cbwd,NE
1/5/10 11:57,Iprec,0
1/5/10 12:00,DEWP,-25
1/5/10 12:07,PM_USPost,33
1/5/10 12:17,PRES,1035
1/5/10 12:20,cbwd,NE
1/5/10 12:24,PRES,1034
1/5/10 12:40,Iws,39.35
1/5/10 13:02,precipitation,0
1/5/10 13:26,HUMI,33
1/5/10 13:34,HUMI,36
1/5/10 13:39,TEMP,-11
1/5/10 13:39,Iws,0.89
1/5/10 13:57,DEWP,-22
1/5/10 14:01,Iws,1.79
1/5/10 14:07,cbwd,NW
1/5/10 14:33,TEMP,-11
1/5/10 14:40,Iprec,0
1/5/10 14:40,PM_USPost,41
1/5/10 14:46,Iws,41.14
1/5/10 14:55,TEMP,-11
1/5/10 15:01,PRES,1031
1/5/10 15:03,PRES,1031
1/5/10 15:08,cbwd,cv
1/5/10 15:15,PM_USPost,50
1/5/10 15:16,HUMI,39
1/5/10 15:21,precipitation,0
1/5/10 15:25,DEWP,-23
1/5/10 15:25,Iprec,0
1/5/10 15:28,PM_USPost,59
1/5/10 15:32,Iprec,0
1/5/10 15:35,cbwd,NW
1/5/10 15:44,cbwd,NW
1/5/10 16:05,PM_USPost,56
1/5/10 16:21,PM_USPost,60
1/5/10 16:25,PRES,1032
1/5/10 16:28,precipitation,0
1/5/10 16:53,Iprec,0
1/5/10 16:57,Iprec,0
1/5/10 17:07,TEMP,-11
1/5/10 17:09,TEMP,-11
1/5/10 17:21,precipitation,0
1/5/10 17:23,PM_USPost,84
1/5/10 17:27,TEMP,-13
1/5/10 17:29,DEWP,-23
1/5/10 17:39,HUMI,33
1/5/10 17:43,precipitation,0
1/5/10 17:54,Iprec,0
1/5/10 17:54,DEWP,-23
1/5/10 17:55,Iprec,0
1/5/10 17:58,HUMI,36
1/5/10 18:02,DEWP,-22
1/5/10 18:13,TEMP,-12
1/5/10 18:22,cbwd,NW
1/5/10 18:38,TEMP,-11
1/5/10 18:44,precipitation,0
1/5/10 18:45,Iws,5.37
1/5/10 18:46,PRES,1031
1/5/10 19:03,cbwd,NW
1/5/10 19:06,DEWP,-22
1/5/10 19:07,PM_USPost,106
1/5/10 19:45,cbwd,NW
1/5/10 20:00,PM_USPost,66
1/5/10 20:05,PM_USPost,50
1/5/10 20:10,Iws,13.42
1/5/10 20:13,precipitation,0
1/5/10 20:13,precipitation,0
1/5/10 20:19,PRES,1033
1/5/10 20:23,TEMP,-18
1/5/10 20:27,cbwd,NW
1/5/10 20:36,PRES,1034
1/5/10 20:37,Iprec,0
1/5/10 20:41,PRES,1033
1/5/10 20:43,Iws,10.29
1/5/10 21:06,DEWP,-24
1/5/10 21:07,cbwd,NW
1/5/10 21:18,Iws,16.55
1/5/10 21:31,Iprec,0
1/5/10 21:36,DEWP,-22
1/5/10 21:36,HUMI,43
1/5/10 21:40,PRES,1033
1/5/10 22:08,HUMI,59
1/5/10 22:19,PRES,1033
1/5/10 22:32,DEWP,-22
1/5/10 22:32,Iws,20.57
1/5/10 22:34,Iws,23.7
1/5/10 22:34,precipitation,0
1/5/10 22:47,TEMP,-17
1/5/10 22:51,HUMI,49
